record_id,incident_date,incident_time,chainage_km,milestone_marker,direction,corridor_zone,district,police_station,nearest_landmark,severity,fatalities,injuries,primary_cause,weather_condition,road_condition,source_reference,matched_segment_id,matched_segment_chainage_start,matched_segment_chainage_end,matched_road_class,latitude,longitude,match_distance_m,match_method,match_confidence
YE_ACC_2021_001,2021-01-12,04:30,14.2,Km 14,SB,Zone 1 (Gr Noida - Jewar),Gautam Buddha Nagar,Dankaur,Eastern Peripheral Expressway Interchange,Fatal,2,3,Fog / Poor Visibility,Dense Fog,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_SB_015,13.978,14.887,motorway,28.328724670628443,77.54949252010503,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE
YE_ACC_2021_002,2021-01-28,02:15,35.4,Km 35,SB,Zone 1 (Gr Noida - Jewar),Gautam Buddha Nagar,Jewar,Jewar Interchange Approach,Fatal,1,4,Drowsy Driving,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_SB_038,35.013,36.173,motorway,28.140407660409174,77.57326146047981,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE
YE_ACC_2021_003,2021-02-14,03:45,49.8,Km 50,SB,Zone 2 (Jewar - Mathura),Aligarh,Tappal,Tappal / SH-22 Flyover,Grievous Injury,0,5,Overspeeding,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_SB_052,49.114,50.096,motorway,28.016762326357455,77.59454925717414,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE
YE_ACC_2021_004,2021-03-02,14:20,76.5,Km 76,SB,Zone 2 (Jewar - Mathura),Mathura,Naujhil,Bajna Interchange Curve,Minor Injury,0,2,Tyre Burst,Sunny / High Temp,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_SB_079,75.619,76.611,motorway,27.81962587732717,77.72641496470398,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE
YE_ACC_2021_005,2021-03-21,23:10,102.8,Km 103,SB,Zone 2 (Jewar - Mathura),Mathura,Raya,Raya / Mathura Cut,Fatal,3,2,Stationary Vehicle Collision,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_SB_106,102.216,103.179,motorway,27.58894875771041,77.74903251200746,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE
YE_ACC_2021_006,2021-04-10,05:00,141.2,Km 141,SB,Zone 3 (Mathura - Agra),Agra,Khandauli,Khandauli Toll Plaza Approach,Fatal,1,1,Drowsy Driving,Hazy,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_SB_145,140.839,141.851,motorway,27.316789073959118,77.9485362096867,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE
YE_ACC_2021_007,2021-05-18,16:40,24.6,Km 25,NB,Zone 1 (Gr Noida - Jewar),Gautam Buddha Nagar,Rabupura,Rabupura Overbridge,Grievous Injury,0,3,Overspeeding,Sunny / High Temp,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_NB_149,139.851,140.972,motorway,28.152452278989646,77.57139820287131,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE
YE_ACC_2021_008,2021-06-25,18:30,88.4,Km 88,NB,Zone 2 (Jewar - Mathura),Mathura,Surir,Surir Service Area,Fatal,2,1,Drunken Driving,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_NB_084,76.228,77.332,motorway,27.6322921075937,77.73723178822652,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE
YE_ACC_2021_009,2021-07-15,08:15,154.0,Km 154,NB,Zone 4 (Agra Toll - Kuberpur),Agra,Itmadpur,Itmadpur Rail Overbridge,Minor Injury,0,2,Rain / Slippery Road,Heavy Rain,Wet,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_NB_015,10.651,11.72,motorway,27.232096135654217,78.10910744196939,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE
YE_ACC_2021_010,2021-08-04,01:50,164.5,Km 165,SB,Zone 4 (Agra Toll - Kuberpur),Agra,Itmadpur,Kuberpur Terminus / NH-19 Merge,Fatal,1,3,Stationary Vehicle Collision,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_SB_170,164.02,164.832,motorway,27.227586513311714,78.11848379762597,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE
YE_ACC_2021_011,2021-09-12,03:10,62.0,Km 62,SB,Zone 2 (Jewar - Mathura),Aligarh,Tappal,Mid-block Rural Straight,Grievous Injury,0,4,Drowsy Driving,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_SB_065,61.965,63.005,motorway,27.916868185921942,77.64081942308282,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE
YE_ACC_2021_012,2021-10-05,22:45,115.3,Km 115,NB,Zone 3 (Mathura - Agra),Mathura,Raya,Baldeo Exit,Fatal,2,2,Overspeeding,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_NB_056,49.564,50.513,motorway,27.403375886888725,77.79930882158438,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE
