feature,count,missing,min,p01,p25,median,mean,p75,p99,max,std
chainage_start_km,3206160,341640,0.0,0.827,41.532,86.234,86.501,131.876,173.025,174.233,50.9959
chainage_end_km,3206160,341640,0.227,1.45,42.515,87.226,87.4543,132.878,173.648,174.499,51.0006
length_m,3547800,0,7.9822,13.9883,941.4199,991.0469,908.6283,1036.9053,1293.3116,2733.3909,302.932
lanes,3547800,0,1.0,1.0,3.0,3.0,2.8667,3.0,3.0,3.0,0.4889
maxspeed_osm_kph,3223680,324120,100.0,100.0,100.0,100.0,100.7065,100.0,120.0,120.0,3.6921
hour_of_day,3547800,0,0.0,0.0,5.75,11.5,11.5,17.25,23.0,23.0,6.9222
day_of_week,3547800,0,0.0,0.0,1.0,3.0,3.0061,5.0,6.0,6.0,2.0007
month,3547800,0,1.0,1.0,4.0,7.0,6.526,10.0,12.0,12.0,3.4479
temperature_c,3547800,0,3.37,6.35,18.49,27.11,25.994,32.8,45.18,48.57,9.6553
dew_point_c,3547800,0,-7.9,-2.45,5.57,11.24,12.7829,21.94,25.74,28.18,8.4182
relative_humidity_pct,3547800,0,3.59,6.44,30.95,53.68,52.325,72.55,98.54,100.0,25.556
precipitation_rate_mm_day,3547800,0,0.0,0.0,0.0,0.0,2.1025,0.07,44.02,271.75,9.0366
precipitation_mm_hr,3547800,0,0.0,0.0,0.0,0.0,0.0876,0.0029,1.8342,11.3229,0.3765
wind_speed_ms,3547800,0,0.02,0.42,1.86,2.65,2.8958,3.56,7.61,11.58,1.5228
surface_pressure_kpa,3547800,0,96.79,97.34,98.01,98.55,98.6014,99.23,99.92,100.47,0.6938
dew_point_depression_c,3547800,0,-2.12,0.2,5.03,9.95,13.2111,18.94,44.03,50.07,10.803
free_flow_speed_kph,3547800,0,48.0,48.0,96.5,99.5,93.3414,103.0,104.2,104.2,17.854
speed_kph,3547800,0,34.6,37.4,77.2,90.8,87.6086,104.4,118.8,119.8,21.1354
travel_time_seconds,3547800,0,0.5,0.9,32.2,37.7,38.842,43.9,91.0,284.4,19.8092
congestion_ratio,3547800,0,0.0,0.0,0.0,0.0603,0.0933,0.1596,0.3709,0.3879,0.0986
speed_reduction_pct,3547800,0,0.0,0.0,0.0,6.03,9.3309,15.96,37.09,38.79,9.8642
historical_accidents_prior_30d,3547800,0,0.0,0.0,0.0,0.0,0.0027,0.0,0.0,1.0,0.0521
historical_accidents_prior_365d,3547800,0,0.0,0.0,0.0,0.0,0.0324,0.0,1.0,1.0,0.1771
historical_fatal_accidents_prior_365d,3547800,0,0.0,0.0,0.0,0.0,0.022,0.0,1.0,1.0,0.1467
historical_fatalities_prior_365d,3547800,0,0.0,0.0,0.0,0.0,0.0396,0.0,2.0,4.0,0.2993
historical_injuries_prior_365d,3547800,0,0.0,0.0,0.0,0.0,0.1083,0.0,4.0,8.0,0.6881
weather_time_difference_minutes,3547800,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
