feature,mean_absolute_shap
length_m,0.80672735
chainage_start_km,0.6587152
dew_point_c,0.5519666
congestion_ratio,0.48230183
day_of_week,0.44476083
wind_speed_ms,0.44442537
precipitation_mm_hr,0.3931361
hour_of_day,0.32819876
surface_pressure_kpa,0.31410867
free_flow_speed_kph,0.2699574
temperature_c,0.26237074
speed_kph,0.23886599
travel_time_seconds,0.22596495
relative_humidity_pct,0.20881718
month,0.18772347
dew_point_depression_c,0.18584928
speed_excess_kph,0.08841502
speed_reduction_pct,0.08837829
fog_risk_code,0.027380226
season_code,0.02547359
historical_accidents_prior_365d,0.0059481584
is_weekend,0.0029166308
historical_accidents_prior_30d,0.0
historical_fatal_accidents_prior_365d,0.0
historical_fatalities_prior_365d,0.0
is_mainline,0.0
is_ramp,0.0
maxspeed_osm_kph,0.0
lanes,0.0
is_interchange_related,0.0
historical_injuries_prior_365d,0.0
