segment_id,mean_risk_score,max_risk_score,chainage_start_km,chainage_end_km,direction,is_mainline,historical_accidents_365d,actual_test_accidents,risk_percentile,risk_category,risk_rank
YE_MAIN_SB_099,0.23608665,0.8694086,94.918,96.021,SB,True,0,0,100.0,CRITICAL_RISK,1
YE_MAIN_SB_050,0.23214875,0.83795553,46.954,48.132,SB,True,1,3,99.75308641975309,CRITICAL_RISK,2
YE_MAIN_SB_036,0.22857565,0.80716425,33.735,34.947,SB,True,0,0,99.50617283950616,CRITICAL_RISK,3
YE_MAIN_SB_019,0.21796867,0.81342185,18.248,19.471,SB,True,0,0,99.25925925925925,CRITICAL_RISK,4
YE_MAIN_NB_084,0.19240923,0.67528266,76.228,77.332,NB,True,0,0,99.01234567901234,CRITICAL_RISK,5
YE_MAIN_NB_083,0.18663551,0.7003954,75.124,76.228,NB,True,0,0,98.76543209876543,CRITICAL_RISK,6
YE_MAIN_NB_149,0.18605913,0.8538491,139.851,140.972,NB,True,0,0,98.51851851851852,CRITICAL_RISK,7
YE_MAIN_SB_038,0.17643699,0.7512099,35.013,36.173,SB,True,0,0,98.27160493827161,CRITICAL_RISK,8
YE_MAIN_SB_016,0.16467519,0.6858861,14.887,16.008,SB,True,0,0,98.0246913580247,CRITICAL_RISK,9
YE_MAIN_SB_017,0.15362693,0.83155054,16.008,17.128,SB,True,0,0,97.77777777777777,CRITICAL_RISK,10
YE_MAIN_SB_049,0.14999673,0.54041743,45.718,46.954,SB,True,0,0,97.53086419753086,CRITICAL_RISK,11
YE_MAIN_SB_028,0.14635022,0.55439657,27.316,28.396,SB,True,0,0,97.28395061728395,CRITICAL_RISK,12
YE_MAIN_SB_029,0.13176481,0.3742724,28.396,29.476,SB,True,0,0,97.03703703703704,CRITICAL_RISK,13
YE_MAIN_NB_086,0.13173912,0.37143135,78.436,79.541,NB,True,0,0,96.79012345679013,CRITICAL_RISK,14
YE_MAIN_SB_027,0.121456094,0.58898383,26.236,27.316,SB,True,0,0,96.54320987654322,CRITICAL_RISK,15
YE_MAIN_SB_101,0.11888402,0.66765827,97.124,98.227,SB,True,0,0,96.29629629629629,CRITICAL_RISK,16
YE_MAIN_SB_018,0.11752069,0.45287147,17.128,18.248,SB,True,0,0,96.04938271604938,CRITICAL_RISK,17
YE_MAIN_NB_016,0.112482905,0.4218144,11.72,12.788,NB,True,0,0,95.80246913580247,CRITICAL_RISK,18
YE_MAIN_NB_085,0.104321525,0.44374993,77.332,78.436,NB,True,0,0,95.55555555555556,CRITICAL_RISK,19
YE_MAIN_SB_100,0.10322001,0.499316,96.021,97.124,SB,True,0,0,95.30864197530863,CRITICAL_RISK,20
YE_MAIN_NB_015,0.10273918,0.44427586,10.651,11.72,NB,True,0,0,95.06172839506173,CRITICAL_RISK,21
YE_MAIN_NB_150,0.10096123,0.5193485,140.972,142.092,NB,True,0,0,94.81481481481482,HIGH_RISK,22
YE_MAIN_NB_017,0.10028553,0.41034713,12.788,13.857,NB,True,0,0,94.5679012345679,HIGH_RISK,23
YE_MAIN_SB_102,0.09667147,0.40246412,98.227,99.329,SB,True,0,0,94.32098765432099,HIGH_RISK,24
YE_MAIN_SB_035,0.09486732,0.33469206,32.403,33.735,SB,True,0,0,94.07407407407408,HIGH_RISK,25
YE_MAIN_SB_051,0.09323172,0.47334966,48.132,49.114,SB,True,0,0,93.82716049382715,HIGH_RISK,26
YE_MAIN_SB_048,0.08211571,0.68211704,44.481,45.718,SB,True,0,0,93.58024691358024,HIGH_RISK,27
YE_MAIN_NB_041,0.07852153,0.33778623,34.721,35.664,NB,True,0,0,93.33333333333333,HIGH_RISK,28
YE_MAIN_NB_056,0.072649285,0.51328737,49.564,50.513,NB,True,0,0,93.08641975308643,HIGH_RISK,29
YE_MAIN_SB_015,0.07185696,0.54541385,13.978,14.887,SB,True,1,2,92.8395061728395,HIGH_RISK,30
YE_MAIN_NB_072,0.07135733,0.53329533,65.268,66.197,NB,True,0,0,92.5925925925926,HIGH_RISK,31
YE_MAIN_SB_144,0.070742615,0.72147006,139.775,140.839,SB,True,0,0,92.34567901234568,HIGH_RISK,32
YE_MAIN_SB_012,0.06901801,0.33244145,11.251,12.16,SB,True,0,0,92.09876543209876,HIGH_RISK,33
YE_MAIN_NB_059,0.06875084,0.32534668,52.41,53.359,NB,True,0,0,91.85185185185185,HIGH_RISK,34
YE_MAIN_SB_057,0.06758286,0.38640434,54.025,55.007,SB,True,0,0,91.60493827160494,HIGH_RISK,35
YE_MAIN_NB_060,0.06751676,0.41764572,53.359,54.308,NB,True,0,0,91.35802469135803,HIGH_RISK,36
YE_MAIN_NB_135,0.0648624,0.40568644,126.328,127.498,NB,True,0,0,91.11111111111111,HIGH_RISK,37
YE_MAIN_NB_039,0.06081526,0.34731865,32.714,33.657,NB,True,0,0,90.8641975308642,HIGH_RISK,38
YE_MAIN_NB_036,0.05949305,0.5733276,29.887,30.829,NB,True,0,0,90.61728395061729,HIGH_RISK,39
YE_MAIN_NB_042,0.05647515,0.3329548,35.664,36.637,NB,True,0,0,90.37037037037037,HIGH_RISK,40
YE_MAIN_SB_069,0.056225188,0.3901941,66.149,67.028,SB,True,0,0,90.12345679012346,HIGH_RISK,41
YE_MAIN_SB_058,0.055769216,0.31164426,55.007,55.982,SB,True,0,0,89.87654320987654,HIGH_RISK,42
YE_MAIN_SB_062,0.055576418,0.36834365,58.909,59.885,SB,True,0,0,89.62962962962962,HIGH_RISK,43
YE_MAIN_SB_145,0.055387333,0.33260962,140.839,141.851,SB,True,0,0,89.38271604938272,HIGH_RISK,44
YE_MAIN_SB_104,0.054553725,0.27455747,100.292,101.254,SB,True,0,0,89.13580246913581,HIGH_RISK,45
YE_MAIN_NB_020,0.054399893,0.34139338,15.777,16.736,NB,True,0,0,88.88888888888889,HIGH_RISK,46
YE_MAIN_NB_046,0.05423638,0.44014198,39.557,40.561,NB,True,0,0,88.64197530864197,HIGH_RISK,47
YE_MAIN_NB_035,0.054176982,0.24573827,28.913,29.887,NB,True,0,0,88.39506172839506,HIGH_RISK,48
YE_MAIN_NB_032,0.053575873,0.19095327,26.931,27.995,NB,True,1,3,88.14814814814815,HIGH_RISK,49
YE_MAIN_SB_068,0.053245675,0.5245909,65.085,66.149,SB,True,0,0,87.90123456790123,HIGH_RISK,50
YE_MAIN_SB_025,0.052794863,0.62086076,24.56,25.577,SB,True,0,0,87.65432098765432,HIGH_RISK,51
YE_MAIN_NB_024,0.052413628,0.2897164,19.616,20.576,NB,True,0,0,87.4074074074074,HIGH_RISK,52
YE_MAIN_SB_059,0.052346755,0.49110124,55.982,56.958,SB,True,0,0,87.1604938271605,HIGH_RISK,53
YE_MAIN_NB_065,0.052174978,0.27207765,58.319,59.322,NB,True,0,0,86.91358024691358,HIGH_RISK,54
YE_MAIN_NB_057,0.051598527,0.4159117,50.513,51.461,NB,True,0,0,86.66666666666667,HIGH_RISK,55
YE_MAIN_SB_054,0.051253773,0.3592105,51.078,52.06,SB,True,0,0,86.41975308641975,HIGH_RISK,56
YE_MAIN_SB_047,0.05069931,0.37476835,43.498,44.481,SB,True,0,0,86.17283950617283,HIGH_RISK,57
YE_MAIN_NB_048,0.05034341,0.29343575,41.564,42.568,NB,True,0,0,85.92592592592592,HIGH_RISK,58
YE_MAIN_SB_106,0.050071504,0.3032906,102.216,103.179,SB,True,1,3,85.67901234567901,HIGH_RISK,59
YE_MAIN_SB_075,0.049736455,0.37664258,71.651,72.643,SB,True,1,0,85.4320987654321,HIGH_RISK,60
YE_MAIN_SB_071,0.04969578,0.3366276,67.908,68.787,SB,True,0,0,85.18518518518519,HIGH_RISK,61
YE_MAIN_SB_055,0.04939211,0.4014374,52.06,53.043,SB,True,0,0,84.93827160493828,MODERATE_RISK,62
YE_MAIN_SB_053,0.04818503,0.39225525,50.096,51.078,SB,True,0,0,84.69135802469135,MODERATE_RISK,63
YE_MAIN_SB_064,0.04786965,0.3382081,60.925,61.965,SB,True,0,0,84.44444444444444,MODERATE_RISK,64
YE_MAIN_NB_064,0.04780374,0.31138596,57.317,58.319,NB,True,0,0,84.19753086419753,MODERATE_RISK,65
YE_MAIN_NB_038,0.047478598,0.3700654,31.772,32.714,NB,True,0,0,83.9506172839506,MODERATE_RISK,66
YE_MAIN_NB_068,0.047303528,0.29444808,61.452,62.517,NB,True,1,0,83.7037037037037,MODERATE_RISK,67
YE_MAIN_NB_050,0.047071908,0.6684938,43.572,44.576,NB,True,0,0,83.4567901234568,MODERATE_RISK,68
YE_MAIN_NB_070,0.046879053,0.30381298,63.582,64.646,NB,True,0,0,83.20987654320989,MODERATE_RISK,69
YE_MAIN_NB_047,0.04675484,0.5446555,40.561,41.564,NB,True,0,0,82.96296296296296,MODERATE_RISK,70
YE_MAIN_SB_079,0.046455547,0.524075,75.619,76.611,SB,True,0,0,82.71604938271605,MODERATE_RISK,71
YE_MAIN_NB_051,0.046397977,0.6940681,44.576,45.573,NB,True,0,0,82.46913580246914,MODERATE_RISK,72
YE_MAIN_SB_052,0.046283867,0.2431343,49.114,50.096,SB,True,0,0,82.22222222222221,MODERATE_RISK,73
YE_MAIN_SB_112,0.046153944,0.2514031,107.719,109.181,SB,True,1,0,81.9753086419753,MODERATE_RISK,74
YE_MAIN_SB_056,0.04563391,0.26768744,53.043,54.025,SB,True,0,0,81.72839506172839,MODERATE_RISK,75
YE_MAIN_NB_023,0.045159414,0.28388512,18.656,19.616,NB,True,0,0,81.48148148148148,MODERATE_RISK,76
YE_MAIN_SB_061,0.04413473,0.3896935,57.934,58.909,SB,True,0,0,81.23456790123457,MODERATE_RISK,77
YE_MAIN_SB_070,0.043850183,0.28789932,67.028,67.908,SB,True,0,0,80.98765432098766,MODERATE_RISK,78
YE_MAIN_NB_137,0.043527726,0.11838896,128.73,129.961,NB,True,1,3,80.74074074074075,MODERATE_RISK,79
YE_MAIN_SB_040,0.04347184,0.38425303,37.124,38.075,SB,True,0,0,80.49382716049382,MODERATE_RISK,80
YE_MAIN_NB_067,0.042503115,0.32099432,60.387,61.452,NB,True,0,0,80.24691358024691,MODERATE_RISK,81
YE_MAIN_SB_072,0.041606985,0.19209199,68.787,69.667,SB,True,0,0,80.0,MODERATE_RISK,82
YE_MAIN_SB_044,0.041281227,0.32520783,40.549,41.532,SB,True,0,0,79.75308641975309,MODERATE_RISK,83
YE_MAIN_NB_019,0.041194044,0.28046986,14.817,15.777,NB,True,0,0,79.50617283950618,MODERATE_RISK,84
YE_MAIN_SB_067,0.040820893,0.34918353,64.045,65.085,SB,True,0,0,79.25925925925927,MODERATE_RISK,85
YE_MAIN_NB_037,0.04056077,0.30776367,30.829,31.772,NB,True,0,0,79.01234567901234,MODERATE_RISK,86
YE_MAIN_SB_042,0.040442728,0.3747091,38.583,39.566,SB,True,0,0,78.76543209876543,MODERATE_RISK,87
YE_MAIN_SB_045,0.03993754,0.22967431,41.532,42.515,SB,True,0,0,78.51851851851852,MODERATE_RISK,88
YE_MAIN_SB_014,0.03989004,0.21114746,13.069,13.978,SB,True,0,0,78.2716049382716,MODERATE_RISK,89
YE_MAIN_SB_039,0.039765995,0.25682583,36.173,37.124,SB,True,0,0,78.02469135802468,MODERATE_RISK,90
YE_MAIN_NB_031,0.03967037,0.19635408,25.867,26.931,NB,True,0,0,77.77777777777779,MODERATE_RISK,91
YE_MAIN_NB_058,0.03961314,0.37900984,51.461,52.41,NB,True,0,0,77.53086419753087,MODERATE_RISK,92
YE_MAIN_NB_136,0.039558947,0.14465743,127.498,128.73,NB,True,0,0,77.28395061728395,MODERATE_RISK,93
YE_MAIN_NB_061,0.039176986,0.26269487,54.308,55.311,NB,True,0,0,77.03703703703704,MODERATE_RISK,94
