segment_id,direction,is_mainline,is_ramp,chainage_start_km,chainage_end_km,length_m,maxspeed,road_class,corridor_section,free_flow_speed_kph,peak_hour_speed_kph,peak_hour_congestion_ratio,free_flow_speed_source,traffic_mapping_method,off_peak_speed_kph,night_speed_kph
YE_MAIN_SB_001,SB,True,False,0.0,1.058,1058.239351416506,100.0,motorway,Section 1: Greater Noida - Dankaur (Km 0 - 25),96.5,67.3,0.3026,SAVELIFE_TRIPP_RADAR_SURVEY_BENCHMARK,SECTION_LEVEL_BASELINE_ASSIGNMENT,90.7,110.0
YE_MAIN_SB_002,SB,True,False,1.058,2.116,1058.2393514167452,100.0,motorway,Section 1: Greater Noida - Dankaur (Km 0 - 25),96.5,67.3,0.3026,SAVELIFE_TRIPP_RADAR_SURVEY_BENCHMARK,SECTION_LEVEL_BASELINE_ASSIGNMENT,90.7,110.0
YE_MAIN_SB_003,SB,True,False,2.116,3.175,1058.2393514166008,100.0,motorway,Section 1: Greater Noida - Dankaur (Km 0 - 25),96.5,67.3,0.3026,SAVELIFE_TRIPP_RADAR_SURVEY_BENCHMARK,SECTION_LEVEL_BASELINE_ASSIGNMENT,90.7,110.0
YE_MAIN_SB_004,SB,True,False,3.175,4.233,1058.2393514165599,100.0,motorway,Section 1: Greater Noida - Dankaur (Km 0 - 25),96.5,67.3,0.3026,SAVELIFE_TRIPP_RADAR_SURVEY_BENCHMARK,SECTION_LEVEL_BASELINE_ASSIGNMENT,90.7,110.0
YE_MAIN_SB_005,SB,True,False,4.233,5.291,1058.2393514162598,100.0,motorway,Section 1: Greater Noida - Dankaur (Km 0 - 25),96.5,67.3,0.3026,SAVELIFE_TRIPP_RADAR_SURVEY_BENCHMARK,SECTION_LEVEL_BASELINE_ASSIGNMENT,90.7,110.0
YE_MAIN_SB_006,SB,True,False,5.291,6.349,1058.23935141677,100.0,motorway,Section 1: Greater Noida - Dankaur (Km 0 - 25),96.5,67.3,0.3026,SAVELIFE_TRIPP_RADAR_SURVEY_BENCHMARK,SECTION_LEVEL_BASELINE_ASSIGNMENT,90.7,110.0
YE_MAIN_SB_007,SB,True,False,6.349,7.348,998.1926267017178,100.0,motorway,Section 1: Greater Noida - Dankaur (Km 0 - 25),96.5,67.3,0.3026,SAVELIFE_TRIPP_RADAR_SURVEY_BENCHMARK,SECTION_LEVEL_BASELINE_ASSIGNMENT,90.7,110.0
YE_MAIN_SB_008,SB,True,False,7.348,8.346,998.1926267016755,100.0,motorway,Section 1: Greater Noida - Dankaur (Km 0 - 25),96.5,67.3,0.3026,SAVELIFE_TRIPP_RADAR_SURVEY_BENCHMARK,SECTION_LEVEL_BASELINE_ASSIGNMENT,90.7,110.0
YE_MAIN_SB_009,SB,True,False,8.346,9.344,998.1926267016757,100.0,motorway,Section 1: Greater Noida - Dankaur (Km 0 - 25),96.5,67.3,0.3026,SAVELIFE_TRIPP_RADAR_SURVEY_BENCHMARK,SECTION_LEVEL_BASELINE_ASSIGNMENT,90.7,110.0
YE_MAIN_SB_010,SB,True,False,9.344,10.342,998.192626701708,100.0,motorway,Section 1: Greater Noida - Dankaur (Km 0 - 25),96.5,67.3,0.3026,SAVELIFE_TRIPP_RADAR_SURVEY_BENCHMARK,SECTION_LEVEL_BASELINE_ASSIGNMENT,90.7,110.0
YE_MAIN_SB_011,SB,True,False,10.342,11.251,908.991581849044,100.0,motorway,Section 1: Greater Noida - Dankaur (Km 0 - 25),96.5,67.3,0.3026,SAVELIFE_TRIPP_RADAR_SURVEY_BENCHMARK,SECTION_LEVEL_BASELINE_ASSIGNMENT,90.7,110.0
YE_MAIN_SB_012,SB,True,False,11.251,12.16,908.9915818488496,100.0,motorway,Section 1: Greater Noida - Dankaur (Km 0 - 25),96.5,67.3,0.3026,SAVELIFE_TRIPP_RADAR_SURVEY_BENCHMARK,SECTION_LEVEL_BASELINE_ASSIGNMENT,90.7,110.0
YE_MAIN_SB_013,SB,True,False,12.16,13.069,908.9915818490057,100.0,motorway,Section 1: Greater Noida - Dankaur (Km 0 - 25),96.5,67.3,0.3026,SAVELIFE_TRIPP_RADAR_SURVEY_BENCHMARK,SECTION_LEVEL_BASELINE_ASSIGNMENT,90.7,110.0
YE_MAIN_SB_014,SB,True,False,13.069,13.978,908.9915818486985,100.0,motorway,Section 1: Greater Noida - Dankaur (Km 0 - 25),96.5,67.3,0.3026,SAVELIFE_TRIPP_RADAR_SURVEY_BENCHMARK,SECTION_LEVEL_BASELINE_ASSIGNMENT,90.7,110.0
YE_MAIN_SB_015,SB,True,False,13.978,14.887,908.9915818491895,100.0,motorway,Section 1: Greater Noida - Dankaur (Km 0 - 25),96.5,67.3,0.3026,SAVELIFE_TRIPP_RADAR_SURVEY_BENCHMARK,SECTION_LEVEL_BASELINE_ASSIGNMENT,90.7,110.0
YE_MAIN_SB_016,SB,True,False,14.887,16.008,1120.402240335291,100.0,motorway,Section 1: Greater Noida - Dankaur (Km 0 - 25),96.5,79.1,0.1803,SAVELIFE_TRIPP_RADAR_SURVEY_BENCHMARK,SECTION_LEVEL_BASELINE_ASSIGNMENT,90.7,110.0
YE_MAIN_SB_017,SB,True,False,16.008,17.128,1120.4022403352346,100.0,motorway,Section 1: Greater Noida - Dankaur (Km 0 - 25),96.5,79.1,0.1803,SAVELIFE_TRIPP_RADAR_SURVEY_BENCHMARK,SECTION_LEVEL_BASELINE_ASSIGNMENT,90.7,110.0
YE_MAIN_SB_018,SB,True,False,17.128,18.248,1120.40224033499,100.0,motorway,Section 1: Greater Noida - Dankaur (Km 0 - 25),96.5,79.1,0.1803,SAVELIFE_TRIPP_RADAR_SURVEY_BENCHMARK,SECTION_LEVEL_BASELINE_ASSIGNMENT,90.7,110.0
YE_MAIN_SB_019,SB,True,False,18.248,19.471,1222.9053899336714,100.0,motorway,Section 1: Greater Noida - Dankaur (Km 0 - 25),96.5,79.1,0.1803,SAVELIFE_TRIPP_RADAR_SURVEY_BENCHMARK,SECTION_LEVEL_BASELINE_ASSIGNMENT,90.7,110.0
YE_MAIN_SB_020,SB,True,False,19.471,20.489,1017.6862962364471,100.0,motorway,Section 1: Greater Noida - Dankaur (Km 0 - 25),96.5,79.1,0.1803,SAVELIFE_TRIPP_RADAR_SURVEY_BENCHMARK,SECTION_LEVEL_BASELINE_ASSIGNMENT,90.7,110.0
YE_MAIN_SB_021,SB,True,False,20.489,21.507,1017.6862962359371,100.0,motorway,Section 1: Greater Noida - Dankaur (Km 0 - 25),96.5,79.1,0.1803,SAVELIFE_TRIPP_RADAR_SURVEY_BENCHMARK,SECTION_LEVEL_BASELINE_ASSIGNMENT,90.7,110.0
YE_MAIN_SB_022,SB,True,False,21.507,22.524,1017.6862962362055,100.0,motorway,Section 1: Greater Noida - Dankaur (Km 0 - 25),96.5,79.1,0.1803,SAVELIFE_TRIPP_RADAR_SURVEY_BENCHMARK,SECTION_LEVEL_BASELINE_ASSIGNMENT,90.7,110.0
YE_MAIN_SB_023,SB,True,False,22.524,23.542,1017.6862962362677,100.0,motorway,Section 1: Greater Noida - Dankaur (Km 0 - 25),96.5,79.1,0.1803,SAVELIFE_TRIPP_RADAR_SURVEY_BENCHMARK,SECTION_LEVEL_BASELINE_ASSIGNMENT,90.7,110.0
YE_MAIN_SB_024,SB,True,False,23.542,24.56,1017.6862962363729,100.0,motorway,Section 1: Greater Noida - Dankaur (Km 0 - 25),96.5,79.1,0.1803,SAVELIFE_TRIPP_RADAR_SURVEY_BENCHMARK,SECTION_LEVEL_BASELINE_ASSIGNMENT,90.7,110.0
YE_MAIN_SB_025,SB,True,False,24.56,25.577,1017.6862962363165,100.0,motorway,Section 2: Dankaur - Jewar (Km 25 - 45),101.2,83.0,0.1798,SAVELIFE_TRIPP_RADAR_SURVEY_BENCHMARK,SECTION_LEVEL_BASELINE_ASSIGNMENT,95.1,115.4
YE_MAIN_SB_026,SB,True,False,25.577,26.236,659.04859727228,100.0,motorway,Section 2: Dankaur - Jewar (Km 25 - 45),101.2,83.0,0.1798,SAVELIFE_TRIPP_RADAR_SURVEY_BENCHMARK,SECTION_LEVEL_BASELINE_ASSIGNMENT,95.1,115.4
