year,toll_plaza,chainage_km,annual_traffic_vehicles,daily_average_pcu,cars_suv_pct,lcv_pct,trucks_buses_pct,multi_axle_heavy_pct,two_wheelers_pct
2012,Jewar Toll Plaza,38.0,3850000,10547,72.4,8.1,12.5,4.2,2.8
2012,Mathura Toll Plaza,95.0,2920000,8000,68.1,9.3,14.8,5.1,2.7
2012,Khandauli Toll Plaza,141.0,2555000,7000,65.4,10.2,16.2,5.8,2.4
2013,Jewar Toll Plaza,38.0,5840000,16000,71.8,8.5,12.8,4.4,2.5
2013,Mathura Toll Plaza,95.0,4380000,12000,67.5,9.6,15.2,5.2,2.5
2013,Khandauli Toll Plaza,141.0,3832500,10500,64.8,10.5,16.5,5.9,2.3
2014,Jewar Toll Plaza,38.0,7300000,20000,71.2,8.8,13.1,4.5,2.4
2014,Mathura Toll Plaza,95.0,5475000,15000,66.9,9.8,15.5,5.4,2.4
2014,Khandauli Toll Plaza,141.0,4745000,13000,64.2,10.8,16.8,6.0,2.2
2015,Jewar Toll Plaza,38.0,8760000,24000,70.5,9.1,13.5,4.6,2.3
2015,Mathura Toll Plaza,95.0,6570000,18000,66.2,10.1,15.8,5.6,2.3
2015,Khandauli Toll Plaza,141.0,5840000,16000,63.5,11.1,17.1,6.2,2.1
2016,Jewar Toll Plaza,38.0,10220000,28000,69.8,9.4,13.9,4.7,2.2
2016,Mathura Toll Plaza,95.0,7665000,21000,65.5,10.4,16.2,5.8,2.1
2016,Khandauli Toll Plaza,141.0,6935000,19000,62.8,11.4,17.5,6.3,2.0
2017,Jewar Toll Plaza,38.0,11315000,31000,69.2,9.6,14.2,4.9,2.1
2017,Mathura Toll Plaza,95.0,8395000,23000,64.9,10.7,16.5,5.9,2.0
2017,Khandauli Toll Plaza,141.0,7665000,21000,62.1,11.7,17.8,6.5,1.9
2018,Jewar Toll Plaza,38.0,12045000,33000,68.5,9.9,14.6,5.0,2.0
2018,Mathura Toll Plaza,95.0,9125000,25000,64.2,11.0,16.9,6.0,1.9
2018,Khandauli Toll Plaza,141.0,8395000,23000,61.4,12.0,18.2,6.6,1.8
2019,Jewar Toll Plaza,38.0,12775000,35000,68.0,10.1,14.9,5.1,1.9
2019,Mathura Toll Plaza,95.0,9855000,27000,63.6,11.2,17.2,6.2,1.8
2019,Khandauli Toll Plaza,141.0,9125000,25000,60.8,12.3,18.5,6.7,1.7
2020,Jewar Toll Plaza,38.0,8760000,24000,66.5,11.2,15.8,5.0,1.5
2020,Mathura Toll Plaza,95.0,6935000,19000,61.8,12.4,18.5,5.8,1.5
2020,Khandauli Toll Plaza,141.0,6205000,17000,59.2,13.5,19.8,6.2,1.3
2021,Jewar Toll Plaza,38.0,11680000,32000,67.8,10.2,15.1,5.1,1.8
2021,Mathura Toll Plaza,95.0,9125000,25000,63.4,11.3,17.4,6.1,1.8
2021,Khandauli Toll Plaza,141.0,8395000,23000,60.5,12.5,18.7,6.6,1.7
2022,Jewar Toll Plaza,38.0,13140000,36000,68.4,10.0,14.8,5.0,1.8
2022,Mathura Toll Plaza,95.0,10220000,28000,64.0,11.1,17.1,6.0,1.8
2022,Khandauli Toll Plaza,141.0,9490000,26000,61.2,12.2,18.4,6.5,1.7
2023,Jewar Toll Plaza,38.0,14235000,39000,68.9,9.8,14.5,5.0,1.8
2023,Mathura Toll Plaza,95.0,10950000,30000,64.5,10.9,16.8,6.0,1.8
2023,Khandauli Toll Plaza,141.0,10220000,28000,61.8,12.0,18.1,6.4,1.7
