record_id,incident_date,incident_time,chainage_km,milestone_marker,direction,corridor_zone,district,police_station,nearest_landmark,severity,fatalities,injuries,primary_cause,weather_condition,road_condition,source_reference,matched_segment_id,matched_segment_chainage_start,matched_segment_chainage_end,matched_road_class,latitude,longitude,match_distance_m,match_method,match_confidence,geometry,assigned_weather_node,weather_timestamp_utc,weather_timestamp_ist,temperature_c,dew_point_c,relative_humidity_pct,precipitation_rate_mm_day,precipitation_mm_hr,wind_speed_ms,surface_pressure_kpa,dew_point_depression_c,derived_fog_indicator,derived_fog_risk_score,weather_alignment_status
YE_ACC_2021_001,2021-01-12,04:30,14.2,Km 14,SB,Zone 1 (Gr Noida - Jewar),Gautam Buddha Nagar,Dankaur,Eastern Peripheral Expressway Interchange,Fatal,2,3,Fog / Poor Visibility,Dense Fog,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_SB_015,13.978,14.887,motorway,28.328724670628443,77.54949252010503,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE,"b""\x01\x01\x00\x00\x00\xdb\xcf\xac\xe2*cS@\xcf\xbc\xcdL'T<@""",WN_01_GREATER_NOIDA,2021-01-11 23:00:00,2021-01-12 04:30:00,7.74,-0.15,57.22,0.0,0.0,3.81,99.22,7.89,CLEAR_OR_NO_FOG,0.0,EXACT_HOUR_ALIGNED
YE_ACC_2021_002,2021-01-28,02:15,35.4,Km 35,SB,Zone 1 (Gr Noida - Jewar),Gautam Buddha Nagar,Jewar,Jewar Interchange Approach,Fatal,1,4,Drowsy Driving,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_SB_038,35.013,36.173,motorway,28.140407660409174,77.57326146047981,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE,b'\x01\x01\x00\x00\x00Z4\xd6P\xb0dS@\xb6\x90\xa5\xc1\xf1#<@',WN_02_JEWAR,2021-01-27 21:00:00,2021-01-28 02:30:00,11.01,-0.58,44.61,0.0,0.0,2.2,99.55,11.59,CLEAR_OR_NO_FOG,0.0,EXACT_HOUR_ALIGNED
YE_ACC_2021_003,2021-02-14,03:45,49.8,Km 50,SB,Zone 2 (Jewar - Mathura),Aligarh,Tappal,Tappal / SH-22 Flyover,Grievous Injury,0,5,Overspeeding,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_SB_052,49.114,50.096,motorway,28.016762326357455,77.59454925717414,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE,b'\x01\x01\x00\x00\x00#\xdbS\x18\rfS@\x99\x82+\x89J\x04<@',WN_03_TAPPAL,2021-02-13 22:00:00,2021-02-14 03:30:00,16.48,1.93,37.43,0.0,0.0,2.1,99.27,14.55,CLEAR_OR_NO_FOG,0.0,EXACT_HOUR_ALIGNED
YE_ACC_2021_004,2021-03-02,14:20,76.5,Km 76,SB,Zone 2 (Jewar - Mathura),Mathura,Naujhil,Bajna Interchange Curve,Minor Injury,0,2,Tyre Burst,Sunny / High Temp,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_SB_079,75.619,76.611,motorway,27.81962587732717,77.72641496470398,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE,b'\x01\x01\x00\x00\x00\xa1.1\x95}nS@T\x13b\x00\xd3\xd1;@',WN_03_TAPPAL,2021-03-02 09:00:00,2021-03-02 14:30:00,26.04,-2.28,15.27,0.0,0.0,7.02,99.36,28.32,CLEAR_OR_NO_FOG,0.0,EXACT_HOUR_ALIGNED
YE_ACC_2021_005,2021-03-21,23:10,102.8,Km 103,SB,Zone 2 (Jewar - Mathura),Mathura,Raya,Raya / Mathura Cut,Fatal,3,2,Stationary Vehicle Collision,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_SB_106,102.216,103.179,motorway,27.58894875771041,77.74903251200746,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE,b'\x01\x01\x00\x00\x00\x9e\xad\x0f&\xf0oS@\xd3b\x85X\xc5\x96;@',WN_04_MATHURA_RAYA,2021-03-21 18:00:00,2021-03-21 23:30:00,29.94,2.55,17.32,0.0,0.0,2.04,98.52,27.39,CLEAR_OR_NO_FOG,0.0,EXACT_HOUR_ALIGNED
YE_ACC_2021_006,2021-04-10,05:00,141.2,Km 141,SB,Zone 3 (Mathura - Agra),Agra,Khandauli,Khandauli Toll Plaza Approach,Fatal,1,1,Drowsy Driving,Hazy,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_SB_145,140.839,141.851,motorway,27.316789073959118,77.9485362096867,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE,b'\x01\x01\x00\x00\x00F\xeb7\xd1\xb4|S@qb\xb8\x16\x19Q;@',WN_05_AGRA_KUBERPUR,2021-04-10 00:00:00,2021-04-10 05:30:00,23.53,-6.8,12.38,0.0,0.0,3.44,98.99,30.33,CLEAR_OR_NO_FOG,0.0,EXACT_HOUR_ALIGNED
YE_ACC_2021_007,2021-05-18,16:40,24.6,Km 25,NB,Zone 1 (Gr Noida - Jewar),Gautam Buddha Nagar,Rabupura,Rabupura Overbridge,Grievous Injury,0,3,Overspeeding,Sunny / High Temp,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_NB_149,139.851,140.972,motorway,28.152452278989646,77.57139820287131,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE,"b""\x01\x01\x00\x00\x00\xd4\x94\xc4\xc9\x91dS@\x11v\xd0\x1c\x07'<@""",WN_02_JEWAR,2021-05-18 11:00:00,2021-05-18 16:30:00,32.05,14.94,35.56,6.51,0.2712,4.71,98.66,17.11,CLEAR_OR_NO_FOG,0.0,EXACT_HOUR_ALIGNED
YE_ACC_2021_008,2021-06-25,18:30,88.4,Km 88,NB,Zone 2 (Jewar - Mathura),Mathura,Surir,Surir Service Area,Fatal,2,1,Drunken Driving,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_NB_084,76.228,77.332,motorway,27.6322921075937,77.73723178822652,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE,b'\x01\x01\x00\x00\x00J\x00=\xce.oS@D\xa2C\xe5\xdd\xa1;@',WN_04_MATHURA_RAYA,2021-06-25 13:00:00,2021-06-25 18:30:00,41.02,15.99,23.3,0.02,0.0008,1.9,97.75,25.03,CLEAR_OR_NO_FOG,0.0,EXACT_HOUR_ALIGNED
YE_ACC_2021_009,2021-07-15,08:15,154.0,Km 154,NB,Zone 4 (Agra Toll - Kuberpur),Agra,Itmadpur,Itmadpur Rail Overbridge,Minor Injury,0,2,Rain / Slippery Road,Heavy Rain,Wet,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_NB_015,10.651,11.72,motorway,27.232096135654217,78.10910744196939,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE,b'\x01\x01\x00\x00\x00\x8f\xc0\xc7\x9d\xfb\x86S@\xb0)\x00\xa7j;;@',WN_05_AGRA_KUBERPUR,2021-07-15 03:00:00,2021-07-15 08:30:00,29.51,23.09,68.28,0.09,0.0037,3.25,98.22,6.42,CLEAR_OR_NO_FOG,0.0,EXACT_HOUR_ALIGNED
YE_ACC_2021_010,2021-08-04,01:50,164.5,Km 165,SB,Zone 4 (Agra Toll - Kuberpur),Agra,Itmadpur,Kuberpur Terminus / NH-19 Merge,Fatal,1,3,Stationary Vehicle Collision,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_SB_170,164.02,164.832,motorway,27.227586513311714,78.11848379762597,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE,b'\x01\x01\x00\x00\x004\xfa\x10=\x95\x87S@:\xaf\x17\x1cC:;@',WN_05_AGRA_KUBERPUR,2021-08-03 20:00:00,2021-08-04 01:30:00,27.66,26.63,93.98,6.92,0.2883,2.56,97.89,1.03,MODERATE_FOG_RISK,0.65,EXACT_HOUR_ALIGNED
