node_id,node_name,node_latitude,node_longitude,timestamp_utc,timestamp_ist,year,month,day,hour_ist,temperature_c,dew_point_c,relative_humidity_pct,precipitation_rate_mm_day,precipitation_mm_hr,wind_speed_ms,surface_pressure_kpa,dew_point_depression_c,derived_fog_indicator,derived_fog_risk_score,source
WN_01_GREATER_NOIDA,Greater Noida (Zero Point Anchor),28.448,77.502,2021-01-01 00:00:00,2021-01-01 05:30:00,2021,1,1,5,6.96,-4.76,42.42,0.0,0.0,2.95,99.28,11.72,CLEAR_OR_NO_FOG,0.0,NASA_POWER_MERRA2_HOURLY
WN_01_GREATER_NOIDA,Greater Noida (Zero Point Anchor),28.448,77.502,2021-01-01 01:00:00,2021-01-01 06:30:00,2021,1,1,6,6.43,-4.74,44.15,0.0,0.0,2.95,99.27,11.17,CLEAR_OR_NO_FOG,0.0,NASA_POWER_MERRA2_HOURLY
WN_01_GREATER_NOIDA,Greater Noida (Zero Point Anchor),28.448,77.502,2021-01-01 02:00:00,2021-01-01 07:30:00,2021,1,1,7,5.98,-4.73,45.54,0.0,0.0,2.94,99.25,10.71,CLEAR_OR_NO_FOG,0.0,NASA_POWER_MERRA2_HOURLY
WN_01_GREATER_NOIDA,Greater Noida (Zero Point Anchor),28.448,77.502,2021-01-01 03:00:00,2021-01-01 08:30:00,2021,1,1,8,5.17,-4.71,48.17,0.0,0.0,2.94,99.24,9.88,CLEAR_OR_NO_FOG,0.0,NASA_POWER_MERRA2_HOURLY
WN_01_GREATER_NOIDA,Greater Noida (Zero Point Anchor),28.448,77.502,2021-01-01 04:00:00,2021-01-01 09:30:00,2021,1,1,9,4.8,-4.68,49.62,0.0,0.0,2.8,99.26,9.48,CLEAR_OR_NO_FOG,0.0,NASA_POWER_MERRA2_HOURLY
WN_01_GREATER_NOIDA,Greater Noida (Zero Point Anchor),28.448,77.502,2021-01-01 05:00:00,2021-01-01 10:30:00,2021,1,1,10,4.65,-4.62,50.35,0.0,0.0,2.66,99.29,9.27,CLEAR_OR_NO_FOG,0.0,NASA_POWER_MERRA2_HOURLY
WN_01_GREATER_NOIDA,Greater Noida (Zero Point Anchor),28.448,77.502,2021-01-01 06:00:00,2021-01-01 11:30:00,2021,1,1,11,5.05,-4.56,49.17,0.0,0.0,2.25,99.34,9.61,CLEAR_OR_NO_FOG,0.0,NASA_POWER_MERRA2_HOURLY
WN_01_GREATER_NOIDA,Greater Noida (Zero Point Anchor),28.448,77.502,2021-01-01 07:00:00,2021-01-01 12:30:00,2021,1,1,12,7.02,-4.52,43.09,0.0,0.0,1.6,99.41,11.54,CLEAR_OR_NO_FOG,0.0,NASA_POWER_MERRA2_HOURLY
WN_01_GREATER_NOIDA,Greater Noida (Zero Point Anchor),28.448,77.502,2021-01-01 08:00:00,2021-01-01 13:30:00,2021,1,1,13,10.22,-4.41,34.98,0.0,0.0,1.15,99.51,14.63,CLEAR_OR_NO_FOG,0.0,NASA_POWER_MERRA2_HOURLY
WN_01_GREATER_NOIDA,Greater Noida (Zero Point Anchor),28.448,77.502,2021-01-01 09:00:00,2021-01-01 14:30:00,2021,1,1,14,13.32,-4.3,28.83,0.0,0.0,0.33,99.56,17.62,CLEAR_OR_NO_FOG,0.0,NASA_POWER_MERRA2_HOURLY
