segment_id,direction,is_mainline,is_ramp,chainage_start_km,chainage_end_km,length_m,assigned_weather_node,weather_node_name,weather_node_lat,weather_node_lon,weather_node_distance_m,weather_mapping_method
YE_MAIN_SB_001,SB,True,False,0.0,1.058,1058.239351416506,WN_01_GREATER_NOIDA,Greater Noida (Zero Point Anchor),28.448,77.502,454.2,NEAREST_CORRIDOR_WEATHER_NODE
YE_MAIN_SB_002,SB,True,False,1.058,2.116,1058.2393514167452,WN_01_GREATER_NOIDA,Greater Noida (Zero Point Anchor),28.448,77.502,1449.31,NEAREST_CORRIDOR_WEATHER_NODE
YE_MAIN_SB_003,SB,True,False,2.116,3.175,1058.2393514166008,WN_01_GREATER_NOIDA,Greater Noida (Zero Point Anchor),28.448,77.502,2499.29,NEAREST_CORRIDOR_WEATHER_NODE
YE_MAIN_SB_004,SB,True,False,3.175,4.233,1058.2393514165599,WN_01_GREATER_NOIDA,Greater Noida (Zero Point Anchor),28.448,77.502,3556.59,NEAREST_CORRIDOR_WEATHER_NODE
YE_MAIN_SB_005,SB,True,False,4.233,5.291,1058.2393514162598,WN_01_GREATER_NOIDA,Greater Noida (Zero Point Anchor),28.448,77.502,4613.19,NEAREST_CORRIDOR_WEATHER_NODE
YE_MAIN_SB_006,SB,True,False,5.291,6.349,1058.23935141677,WN_01_GREATER_NOIDA,Greater Noida (Zero Point Anchor),28.448,77.502,5669.39,NEAREST_CORRIDOR_WEATHER_NODE
YE_MAIN_SB_007,SB,True,False,6.349,7.348,998.1926267017178,WN_01_GREATER_NOIDA,Greater Noida (Zero Point Anchor),28.448,77.502,6696.37,NEAREST_CORRIDOR_WEATHER_NODE
YE_MAIN_SB_008,SB,True,False,7.348,8.346,998.1926267016755,WN_01_GREATER_NOIDA,Greater Noida (Zero Point Anchor),28.448,77.502,7692.5,NEAREST_CORRIDOR_WEATHER_NODE
YE_MAIN_SB_009,SB,True,False,8.346,9.344,998.1926267016757,WN_01_GREATER_NOIDA,Greater Noida (Zero Point Anchor),28.448,77.502,8684.42,NEAREST_CORRIDOR_WEATHER_NODE
YE_MAIN_SB_010,SB,True,False,9.344,10.342,998.192626701708,WN_01_GREATER_NOIDA,Greater Noida (Zero Point Anchor),28.448,77.502,9677.18,NEAREST_CORRIDOR_WEATHER_NODE
YE_MAIN_SB_011,SB,True,False,10.342,11.251,908.991581849044,WN_01_GREATER_NOIDA,Greater Noida (Zero Point Anchor),28.448,77.502,10626.37,NEAREST_CORRIDOR_WEATHER_NODE
YE_MAIN_SB_012,SB,True,False,11.251,12.16,908.9915818488496,WN_01_GREATER_NOIDA,Greater Noida (Zero Point Anchor),28.448,77.502,11531.88,NEAREST_CORRIDOR_WEATHER_NODE
YE_MAIN_SB_013,SB,True,False,12.16,13.069,908.9915818490057,WN_01_GREATER_NOIDA,Greater Noida (Zero Point Anchor),28.448,77.502,12437.94,NEAREST_CORRIDOR_WEATHER_NODE
YE_MAIN_SB_014,SB,True,False,13.069,13.978,908.9915818486985,WN_01_GREATER_NOIDA,Greater Noida (Zero Point Anchor),28.448,77.502,13344.4,NEAREST_CORRIDOR_WEATHER_NODE
YE_MAIN_SB_015,SB,True,False,13.978,14.887,908.9915818491895,WN_01_GREATER_NOIDA,Greater Noida (Zero Point Anchor),28.448,77.502,14251.32,NEAREST_CORRIDOR_WEATHER_NODE
YE_MAIN_SB_016,SB,True,False,14.887,16.008,1120.402240335291,WN_01_GREATER_NOIDA,Greater Noida (Zero Point Anchor),28.448,77.502,15263.88,NEAREST_CORRIDOR_WEATHER_NODE
YE_MAIN_SB_017,SB,True,False,16.008,17.128,1120.4022403352346,WN_01_GREATER_NOIDA,Greater Noida (Zero Point Anchor),28.448,77.502,16382.22,NEAREST_CORRIDOR_WEATHER_NODE
YE_MAIN_SB_018,SB,True,False,17.128,18.248,1120.40224033499,WN_02_JEWAR,Jewar (Airport & Toll Anchor),28.1465,77.585,17033.38,NEAREST_CORRIDOR_WEATHER_NODE
YE_MAIN_SB_019,SB,True,False,18.248,19.471,1222.9053899336714,WN_02_JEWAR,Jewar (Airport & Toll Anchor),28.1465,77.585,15870.64,NEAREST_CORRIDOR_WEATHER_NODE
YE_MAIN_SB_020,SB,True,False,19.471,20.489,1017.6862962364471,WN_02_JEWAR,Jewar (Airport & Toll Anchor),28.1465,77.585,14760.45,NEAREST_CORRIDOR_WEATHER_NODE
YE_MAIN_SB_021,SB,True,False,20.489,21.507,1017.6862962359371,WN_02_JEWAR,Jewar (Airport & Toll Anchor),28.1465,77.585,13750.06,NEAREST_CORRIDOR_WEATHER_NODE
YE_MAIN_SB_022,SB,True,False,21.507,22.524,1017.6862962362055,WN_02_JEWAR,Jewar (Airport & Toll Anchor),28.1465,77.585,12736.84,NEAREST_CORRIDOR_WEATHER_NODE
YE_MAIN_SB_023,SB,True,False,22.524,23.542,1017.6862962362677,WN_02_JEWAR,Jewar (Airport & Toll Anchor),28.1465,77.585,11728.75,NEAREST_CORRIDOR_WEATHER_NODE
YE_MAIN_SB_024,SB,True,False,23.542,24.56,1017.6862962363729,WN_02_JEWAR,Jewar (Airport & Toll Anchor),28.1465,77.585,10721.04,NEAREST_CORRIDOR_WEATHER_NODE
YE_MAIN_SB_025,SB,True,False,24.56,25.577,1017.6862962363165,WN_02_JEWAR,Jewar (Airport & Toll Anchor),28.1465,77.585,9717.8,NEAREST_CORRIDOR_WEATHER_NODE
YE_MAIN_SB_026,SB,True,False,25.577,26.236,659.04859727228,WN_02_JEWAR,Jewar (Airport & Toll Anchor),28.1465,77.585,8892.89,NEAREST_CORRIDOR_WEATHER_NODE
YE_MAIN_SB_027,SB,True,False,26.236,27.316,1079.6917625921205,WN_02_JEWAR,Jewar (Airport & Toll Anchor),28.1465,77.585,8039.88,NEAREST_CORRIDOR_WEATHER_NODE
