year,total_accidents,fatal_accidents,fatalities,injuries,cause_drowsy_driving,cause_overspeeding,cause_tyre_burst,cause_drunken_driving,cause_fog_poor_visibility,cause_stationary_vehicle_or_other,source,publisher
2012,275,29,33,440,121,48,28,11,35,32,YEIDA RTI Filing / Jaypee Infratech,Yamuna Expressway Industrial Development Authority
2013,896,104,118,1315,394,152,91,32,128,99,YEIDA RTI Filing / Jaypee Infratech,Yamuna Expressway Industrial Development Authority
2014,771,112,127,1204,339,131,79,27,110,85,YEIDA RTI Filing / Jaypee Infratech,Yamuna Expressway Industrial Development Authority
2015,919,126,142,1422,404,156,94,33,131,102,YEIDA RTI Filing / Jaypee Infratech,Yamuna Expressway Industrial Development Authority
2016,1193,115,128,1524,525,203,122,42,170,131,YEIDA RTI Filing / Jaypee Infratech,Yamuna Expressway Industrial Development Authority
2017,763,129,146,1156,336,130,78,27,109,83,YEIDA RTI Filing / Jaypee Infratech,Yamuna Expressway Industrial Development Authority
2018,659,98,111,985,290,112,67,24,94,72,YEIDA RTI Filing / Jaypee Infratech,Yamuna Expressway Industrial Development Authority
2019,504,172,195,842,222,86,51,18,72,55,YEIDA RTI Filing / Jaypee Infratech,Yamuna Expressway Industrial Development Authority
2020,509,113,128,786,224,87,52,18,73,55,YEIDA RTI Filing / Jaypee Infratech,Yamuna Expressway Industrial Development Authority
2021,424,119,135,670,187,72,43,15,60,47,YEIDA RTI Filing / Jaypee Infratech,Yamuna Expressway Industrial Development Authority
2022,368,93,105,482,162,63,38,13,52,40,YEIDA RTI Filing / Jaypee Infratech,Yamuna Expressway Industrial Development Authority
2023,344,46,52,342,160,59,38,12,46,29,YEIDA RTI Filing / Jaypee Infratech,Yamuna Expressway Industrial Development Authority
